id,nb_groups,true_victory,true_defeat,ratio_victory,ratio_iou,Embeddings
221,221,154,35,0.69683257918552,0.233687860464282,distmult
220,220,155,34,0.704545454545455,0.233548493289938,distmult
164,164,129,29,0.786585365853659,0.233526387835696,ProjE
185,185,144,35,0.778378378378378,0.233416475166396,distmult
208,208,153,36,0.735576923076923,0.233310852068683,transd
201,201,152,36,0.756218905472637,0.233304123940128,transd
200,200,150,37,0.75,0.233136040151555,distmult
195,195,149,36,0.764102564102564,0.233127370362822,transd
215,215,154,36,0.716279069767442,0.232965843796151,transd
220,220,156,35,0.709090909090909,0.232811084402263,transd
203,203,151,38,0.74384236453202,0.232786752794657,distmult
161,161,126,29,0.782608695652174,0.232732826119386,ProjE
222,222,154,35,0.693693693693694,0.232598599383121,distmult
188,188,138,33,0.734042553191489,0.232447246984858,ProjE
171,171,136,33,0.7953216374269,0.232389840746792,distmult
181,181,141,36,0.779005524861878,0.232335445664504,distmult
209,209,153,36,0.732057416267943,0.232322442522183,transd
218,218,152,34,0.697247706422018,0.232268698352068,ProjE
170,170,133,36,0.782352941176471,0.23221867207544,distmult
201,201,150,37,0.746268656716418,0.231992053243819,distmult
223,223,154,35,0.690582959641256,0.231802700504003,distmult
198,198,150,36,0.757575757575758,0.231739800602646,transd
168,168,133,33,0.791666666666667,0.231533404027777,distmult
196,196,150,36,0.76530612244898,0.231521432408818,transd
217,217,155,36,0.714285714285714,0.231406144744503,transd
181,181,137,30,0.756906077348066,0.23127382763129,ProjE
195,195,149,36,0.764102564102564,0.231247097173967,distmult
182,182,141,36,0.774725274725275,0.230984079901499,distmult
224,224,154,35,0.6875,0.230822836140092,distmult
197,197,150,36,0.761421319796954,0.23080673770007,transd
144,144,116,28,0.805555555555556,0.230780792823281,ProjE
180,180,141,34,0.783333333333333,0.230734433961203,distmult
210,210,153,36,0.728571428571429,0.230631956945618,transd
202,202,150,38,0.742574257425743,0.230582491756157,distmult
188,188,147,35,0.781914893617021,0.230546817215363,distmult
218,218,155,36,0.711009174311927,0.230386995844927,transd
180,180,136,30,0.755555555555556,0.23035085564489,ProjE
130,130,106,24,0.815384615384615,0.230347768805434,ProjE
226,226,155,35,0.685840707964602,0.230276001235279,distmult
204,204,153,36,0.75,0.23006196814498,transd
189,189,147,35,0.777777777777778,0.230015673078768,distmult
225,225,154,35,0.684444444444444,0.229806174925482,distmult
204,204,144,33,0.705882352941176,0.229693343938275,ProjE
236,236,157,34,0.665254237288136,0.229673124564374,distmult
200,200,144,33,0.72,0.229607716437524,ProjE
143,143,111,31,0.776223776223776,0.229543205066757,distmult
135,135,108,27,0.8,0.229502845530797,ProjE
235,235,156,35,0.663829787234042,0.229462590159713,distmult
227,227,155,35,0.682819383259912,0.229285061671803,distmult
178,178,135,30,0.758426966292135,0.228987612949763,ProjE
108,108,88,20,0.814814814814815,0.2289275234522,ProjE
169,169,132,36,0.781065088757396,0.228397050717622,distmult
165,165,131,32,0.793939393939394,0.228375174986103,distmult
192,192,148,36,0.770833333333333,0.228231165998665,distmult
144,144,115,29,0.798611111111111,0.227968011929664,TransE
131,131,106,25,0.809160305343511,0.227891364328724,ProjE
190,190,147,36,0.773684210526316,0.227704510656527,distmult
179,179,143,35,0.798882681564246,0.227519113193938,TransE
179,179,135,30,0.754189944134078,0.227514594097006,ProjE
203,203,146,32,0.719211822660099,0.227461421651769,ProjE
148,148,115,31,0.777027027027027,0.227448105521996,distmult
237,237,158,33,0.666666666666667,0.227336988293806,distmult
183,183,144,36,0.786885245901639,0.227259296737635,TransE
193,193,148,36,0.766839378238342,0.22713240670299,distmult
196,196,150,42,0.76530612244898,0.227108616164871,TransE
191,191,147,36,0.769633507853403,0.227033366035051,distmult
221,221,156,35,0.705882352941176,0.226885094967081,transd
120,120,97,23,0.808333333333333,0.226713362565858,ProjE
238,238,158,33,0.663865546218487,0.226605337147733,distmult
132,132,105,27,0.795454545454545,0.226583797685828,ProjE
180,180,143,35,0.794444444444444,0.226266838365168,TransE
153,153,123,28,0.803921568627451,0.226250939304993,ProjE
222,222,156,35,0.702702702702703,0.226176271874624,transd
219,219,155,36,0.707762557077626,0.22608979042992,transd
142,142,110,31,0.774647887323944,0.226038854914009,distmult
225,225,155,37,0.688888888888889,0.225936888595146,transd
145,145,115,30,0.793103448275862,0.225439746106362,TransE
154,154,123,28,0.798701298701299,0.225297342474266,ProjE
184,184,145,36,0.788043478260869,0.225230169381703,TransE
173,173,140,32,0.809248554913295,0.225224703175363,TransE
226,226,155,37,0.685840707964602,0.225211465783211,transd
199,199,149,37,0.748743718592965,0.22520249436364,distmult
197,197,149,36,0.756345177664975,0.225074517587058,distmult
174,174,141,32,0.810344827586207,0.225055646613361,TransE
143,143,115,28,0.804195804195804,0.224975787894087,ProjE
185,185,137,32,0.740540540540541,0.224945445282562,ProjE
175,175,142,32,0.811428571428571,0.224748711659878,TransE
201,201,152,44,0.756218905472637,0.22465701614017,TransE
194,194,141,32,0.72680412371134,0.224510522897852,ProjE
152,152,122,28,0.802631578947369,0.224450414196581,ProjE
189,189,140,31,0.740740740740741,0.22414454918532,ProjE
223,223,155,37,0.695067264573991,0.224091307534784,transd
142,142,114,28,0.802816901408451,0.224019840133173,ProjE
151,151,122,27,0.80794701986755,0.223978721923051,ProjE
198,198,149,36,0.752525252525252,0.223830818330351,distmult
202,202,152,44,0.752475247524752,0.22380694332846,TransE
182,182,143,37,0.785714285714286,0.223799060100326,TransE
163,163,130,32,0.797546012269939,0.22371439082939,distmult
192,192,141,31,0.734375,0.22369855322329,ProjE
210,210,151,41,0.719047619047619,0.223568475237197,distmult
186,186,137,32,0.736559139784946,0.223564045115595,ProjE
211,211,152,41,0.720379146919431,0.22351378420516,distmult
170,170,128,32,0.752941176470588,0.223504767055519,ProjE
176,176,142,33,0.806818181818182,0.223449861219017,TransE
231,231,156,35,0.675324675324675,0.223428685965293,distmult
195,195,141,32,0.723076923076923,0.223349611624637,ProjE
